,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
535,,2023,"IOCL-DIGBOI,ASSAM",64.4,
536,,2023,BORL-BINA,660.48,
537,,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1101.06,
538,,2023,IOCL TOTAL,6297.37,
539,,2023,"MRPL-MANGALORE,KARNATAKA",1452.47,
540,,2023,ONGC TOTAL,1458.08,
541,,2023,"HPCL-VISAKH,ANDHRA PRADESH",1049.8,
542,,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1062.37,
543,,2023,"RIL,JAMNAGAR,GUJARAT",2783.26,
544,,2023,"IOCL-KOYALI, GUJARAT",1330.93,
545,,2023,"IOCL-DIGBOI,ASSAM",63.47,
546,,2023,CPCL-TOTAL,1040.15,
547,,2023,"BPCL-MUMBAI, MAHARASHTRA",1367.99,
548,,2023,BORL-BINA,48.04,
549,,2023,RIL TOTAL,5516.03,
550,,2023,GRAND TOTAL,21885.12,
551,,2023,"CPCL-MANALI, TAMILNADU",1000.38,
552,,2023,HPCL-TOTAL,2996.38,
553,,2023,"RIL,JAMNAGAR,GUJARAT",2939.45,
554,,2023,"IOCL-MATHURA, UTTAR PRADESH",721.79,
555,,2023,"IOCL-DIGBOI,ASSAM",51.97,
556,,2023,"BPCL-KOCHI, KERALA",1299.36,
557,,2023,BPCL-TOTAL,3334.08,
558,,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",4.18,
559,,2023,"HPCL-MUMBAI,MAHARASHTRA",846.75,
560,,2023,"HPCL-VISAKH,ANDHRA PRADESH",1013.17,
561,,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",1986.7,
562,,2023,"IOCL-BARAUNI,BIHAR",503.43,
563,,2023,"CPCL-MANALI, TAMILNADU",1007.23,
564,,2023,"HPCL-VISAKH,ANDHRA PRADESH",1010.06,
565,,2023,"RIL,JAMNAGAR,GUJARAT",2925.27,
566,,2023,"IOCL-PANIPAT, HARYANA",1308.49,
567,,2023,"IOCL-DIGBOI,ASSAM",69.08,
568,,2023,"BPCL-MUMBAI, MAHARASHTRA",1390.34,
569,,2023,"BPCL-KOCHI, KERALA",1563.39,
570,,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",5.7,
571,,2023,ONGC TOTAL,1563.95,
572,,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1109.95,
573,,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2493.78,
574,,2024,"IOCL-MATHURA, UTTAR PRADESH",646.13,
575,,2024,"IOCL-BONGAIGAON,ASSAM",251.93,
576,,2024,"HMEL-GGSR, BATHINDA, PUNJAB",851.84,
577,,2024,"NEL-VADINAR,GUJARAT",1732.75,
578,,2024,"IOCL-BARAUNI,BIHAR",541.97,
579,,2024,"IOCL-DIGBOI,ASSAM",64.69,
580,,2024,"IOCL-BONGAIGAON,ASSAM",238.9,
581,,2024,"IOCL-PARADIP,ODISHA",1271.3,
582,,2024,"BPCL-MUMBAI, MAHARASHTRA",1307.15,
583,,2024,"HPCL-VISAKH,ANDHRA PRADESH",1254.0,
584,,2024,"HMEL-GGSR, BATHINDA, PUNJAB",884.58,
585,,2024,"IOCL-MATHURA, UTTAR PRADESH",900.97,
586,,2024,"IOCL-DIGBOI,ASSAM",68.77,
587,,2024,"IOCL-PARADIP,ODISHA",1405.67,
588,,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",5.45,
589,,2024,"RIL,JAMNAGAR,GUJARAT",3016.31,
590,,2022,"CPCL-MANALI, TAMILNADU",904.2,
591,,2022,"BPCL-MUMBAI, MAHARASHTRA",1301.76,
592,,2022,"BPCL-KOCHI, KERALA",1314.11,
593,,2022,"MRPL-MANGALORE,KARNATAKA",1480.97,
594,,2022,"HPCL-VISAKH,ANDHRA PRADESH",797.81,
595,,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1039.86,
596,,2022,"NEL-VADINAR,GUJARAT",1659.98,
597,,2022,IOCL TOTAL,6422.41,
598,,2022,"NRL-NUMALIGARH, ASSAM",275.34,
599,,2022,"HPCL-MUMBAI,MAHARASHTRA",844.05,
600,,2022,HPCL-TOTAL,2757.9,
601,,2022,"RIL,JAMNAGAR,GUJARAT",3123.94,
602,,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2547.25,
603,,2022,"IOCL-KOYALI, GUJARAT",1314.78,
604,,2022,"IOCL-PARADIP,ODISHA",1263.58,
605,,2022,BPCL-TOTAL,2895.38,
606,,2022,"RIL,JAMNAGAR,GUJARAT",2953.79,
607,,2022,"NEL-VADINAR,GUJARAT",1679.61,
608,,2022,"IOCL-BARAUNI,BIHAR",558.62,
609,,2022,"HPCL-MUMBAI,MAHARASHTRA",876.49,
610,,2022,"RIL,JAMNAGAR,GUJARAT",2932.96,
611,,2022,"IOCL-HALDIA, WEST BENGAL",708.57,
612,,2022,"IOCL-PANIPAT, HARYANA",1207.09,
613,,2022,"BPCL-KOCHI, KERALA",1377.33,
614,,2022,BORL-BINA,412.22,
615,,2022,BPCL-TOTAL,3036.17,
616,,2022,"HPCL-VISAKH,ANDHRA PRADESH",555.78,
617,,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2146.64,
618,,2022,GRAND TOTAL,19533.7,
619,,2022,"IOCL-HALDIA, WEST BENGAL",701.74,
620,,2022,"IOCL-MATHURA, UTTAR PRADESH",767.41,
621,,2022,BPCL-TOTAL,3067.65,
622,,2022,RIL TOTAL,4622.84,
623,,2022,GRAND TOTAL,19549.92,
624,,2022,"IOCL-DIGBOI,ASSAM",62.42,
625,,2022,"IOCL-BONGAIGAON,ASSAM",254.15,
626,,2022,CPCL-TOTAL,723.13,
627,,2022,"BPCL-KOCHI, KERALA",581.02,
628,,2022,"NRL-NUMALIGARH, ASSAM",279.61,
629,,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",7.55,
630,,2022,"MRPL-MANGALORE,KARNATAKA",1493.47,
631,,2022,ONGC TOTAL,1501.02,
632,,2022,HPCL-TOTAL,2663.38,
633,,2022,"NEL-VADINAR,GUJARAT",1716.96,
634,,2022,"IOCL-HALDIA, WEST BENGAL",708.1,
635,,2022,"IOCL-DIGBOI,ASSAM",59.69,
636,,2022,CPCL-TOTAL,921.0,
637,,2022,ONGC TOTAL,1467.89,
638,,2022,RIL TOTAL,5233.71,
639,,2022,"IOCL-BARAUNI,BIHAR",529.96,
640,,2022,"IOCL-KOYALI, GUJARAT",1326.2,
641,,2022,"IOCL-PANIPAT, HARYANA",890.41,
642,,2022,"IOCL-BONGAIGAON,ASSAM",251.22,
643,,2022,"CPCL-MANALI, TAMILNADU",960.42,
644,,2022,BPCL-TOTAL,3563.35,
645,,2022,"HPCL-VISAKH,ANDHRA PRADESH",818.38,
646,,2023,"IOCL-GUWAHATI,ASSAM",94.01,
647,,2023,"BPCL-MUMBAI, MAHARASHTRA",1390.21,
648,,2023,BORL-BINA,678.71,
649,,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",6.57,
650,,2023,"HPCL-VISAKH,ANDHRA PRADESH",823.65,
651,,2023,"RIL,JAMNAGAR,GUJARAT",2848.0,
652,,2023,"IOCL-GUWAHATI,ASSAM",86.09,
653,,2023,"IOCL-DIGBOI,ASSAM",57.15,
654,,2023,"IOCL-BONGAIGAON,ASSAM",233.22,
655,,2023,"IOCL-PARADIP,ODISHA",1191.96,
656,,2023,CPCL-TOTAL,927.88,
657,,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1008.02,
658,,2023,"IOCL-BARAUNI,BIHAR",579.97,
659,,2023,"IOCL-DIGBOI,ASSAM",59.4,
660,,2023,"IOCL-PARADIP,ODISHA",1418.04,
661,,2023,CPCL-TOTAL,1033.64,
662,,2023,"MRPL-MANGALORE,KARNATAKA",1502.25,
663,,2023,"RIL,JAMNAGAR,GUJARAT",2822.16,
664,,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2537.59,
665,,2023,"NEL-VADINAR,GUJARAT",1707.4,
666,,2023,GRAND TOTAL,23003.61,
667,,2021,"IOCL-PANIPAT, HARYANA",1322.0,
668,,2021,"BPCL-KOCHI, KERALA",1363.0,
669,,2021,"MRPL-MANGALORE,KARNATAKA",1100.0,
670,,2021,HPCL-TOTAL,1926.0,
671,,2021,"IOCL-BONGAIGAON,ASSAM",227.0,
672,,2021,IOCL TOTAL,5380.0,
