,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
407,,2021,IOCL TOTAL,4705.0,
408,,2021,"MRPL-MANGALORE,KARNATAKA",988.0,
409,,2021,ONGC TOTAL,994.0,
410,,2021,"NEL-VADINAR,GUJARAT",1668.0,
411,,2021,IOCL TOTAL,5517.0,
412,,2021,"BPCL-MUMBAI, MAHARASHTRA",1110.0,
413,,2021,"NRL-NUMALIGARH, ASSAM",254.0,
414,,2021,"HPCL-VISAKH,ANDHRA PRADESH",853.0,
415,,2021,"IOCL-BARAUNI,BIHAR",479.0,
416,,2021,"IOCL-PARADIP,ODISHA",1120.0,
417,,2021,"BPCL-KOCHI, KERALA",1429.0,
418,,2021,"NRL-NUMALIGARH, ASSAM",223.0,
419,,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1080.0,
420,,2021,HPCL-TOTAL,2445.0,
421,,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2451.0,
422,,2021,RIL TOTAL,5448.0,
423,,2021,"NEL-VADINAR,GUJARAT",1688.0,
424,,2021,"IOCL-KOYALI, GUJARAT",1293.0,
425,,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7.0,
426,,2021,"HPCL-MUMBAI,MAHARASHTRA",674.0,
427,,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1118.0,
428,,2021,HPCL-TOTAL,2601.0,
429,,2021,GRAND TOTAL,21483.0,
430,,2022,"IOCL-MATHURA, UTTAR PRADESH",746.0,
431,,2022,"IOCL-DIGBOI,ASSAM",59.0,
432,,2022,IOCL TOTAL,5844.0,
433,,2022,"MRPL-MANGALORE,KARNATAKA",1440.0,
434,,2022,RIL TOTAL,5277.0,
435,,2022,"NEL-VADINAR,GUJARAT",1733.0,
436,,2022,"IOCL-BARAUNI,BIHAR",529.0,
437,,2022,"IOCL-KOYALI, GUJARAT",1200.0,
438,,2022,"IOCL-DIGBOI,ASSAM",50.0,
439,,2022,"IOCL-PARADIP,ODISHA",1211.0,
440,,2022,BORL-BINA,594.0,
441,,2022,"HPCL-MUMBAI,MAHARASHTRA",748.0,
442,,2022,"RIL,JAMNAGAR,GUJARAT",2777.0,
443,,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2013.0,
444,,2022,GRAND TOTAL,20443.0,
445,,2022,"IOCL-KOYALI, GUJARAT",1338.0,
446,,2022,"IOCL-PARADIP,ODISHA",1383.0,
447,,2022,CPCL-TOTAL,1062.0,
448,,2022,BORL-BINA,704.0,
449,,2022,"NRL-NUMALIGARH, ASSAM",188.0,
450,,2022,ONGC TOTAL,1510.0,
451,,2022,"RIL,JAMNAGAR,GUJARAT",3056.0,
452,,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2074.0,
453,,2020,"IOCL-MATHURA, UTTAR PRADESH",506.0,
454,,2020,"IOCL-PANIPAT, HARYANA",457.0,
