,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
177,,2024,"BPCL-KOCHI, KERALA",1203.8,
178,,2024,BORL-BINA,663.63,
179,,2024,"NRL-NUMALIGARH, ASSAM",261.6,
180,,2024,HPCL-TOTAL,2818.23,
181,,2024,"NEL-VADINAR,GUJARAT",1622.29,
182,,2024,GRAND TOTAL,20876.75,
183,,2024,"IOCL-PANIPAT, HARYANA",1105.09,
184,,2024,CPCL-TOTAL,1072.31,
185,,2022,"IOCL-BARAUNI,BIHAR",550.61,
186,,2022,"IOCL-MATHURA, UTTAR PRADESH",805.13,
187,,2022,"IOCL-DIGBOI,ASSAM",58.03,
188,,2022,"IOCL-BONGAIGAON,ASSAM",209.04,
189,,2022,"HPCL-MUMBAI,MAHARASHTRA",731.49,
190,,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2116.64,
191,,2022,RIL TOTAL,5150.91,
192,,2022,"CPCL-MANALI, TAMILNADU",1005.44,
193,,2022,CPCL-TOTAL,1005.44,
194,,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1111.19,
195,,2022,"IOCL-MATHURA, UTTAR PRADESH",867.72,
196,,2022,"IOCL-GUWAHATI,ASSAM",92.08,
197,,2022,"IOCL-DIGBOI,ASSAM",60.93,
198,,2022,"CPCL-MANALI, TAMILNADU",972.61,
199,,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.72,
200,,2022,HPCL-TOTAL,2712.01,
201,,2022,"IOCL-PANIPAT, HARYANA",1154.63,
202,,2022,"IOCL-PARADIP,ODISHA",1346.24,
203,,2022,"CPCL-MANALI, TAMILNADU",975.07,
204,,2022,"BPCL-KOCHI, KERALA",1423.65,
205,,2022,"NRL-NUMALIGARH, ASSAM",261.07,
206,,2022,ONGC TOTAL,1433.34,
207,,2022,"HPCL-VISAKH,ANDHRA PRADESH",683.83,
208,,2022,GRAND TOTAL,21423.24,
209,,2022,"IOCL-GUWAHATI,ASSAM",91.19,
210,,2022,"IOCL-PARADIP,ODISHA",2.1,
211,,2022,CPCL-TOTAL,940.43,
212,,2022,RIL TOTAL,5176.59,
213,,2022,"IOCL-KOYALI, GUJARAT",1270.87,
214,,2022,"IOCL-PANIPAT, HARYANA",1153.66,
215,,2022,"CPCL-MANALI, TAMILNADU",961.61,
216,,2022,"BPCL-MUMBAI, MAHARASHTRA",1261.03,
217,,2022,"IOCL-KOYALI, GUJARAT",1323.4,
218,,2022,"IOCL-HALDIA, WEST BENGAL",724.58,
219,,2022,"IOCL-MATHURA, UTTAR PRADESH",794.59,
220,,2022,"IOCL-PARADIP,ODISHA",1239.11,
221,,2022,IOCL TOTAL,6245.22,
222,,2022,"HPCL-VISAKH,ANDHRA PRADESH",787.49,
223,,2022,RIL TOTAL,4691.26,
224,,2022,"IOCL-PARADIP,ODISHA",1330.62,
225,,2022,BPCL-TOTAL,3289.21,
226,,2022,"NRL-NUMALIGARH, ASSAM",247.0,
227,,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.3,
228,,2022,"HPCL-MUMBAI,MAHARASHTRA",820.12,
229,,2022,"RIL,JAMNAGAR,GUJARAT",2555.92,
230,,2022,"IOCL-GUWAHATI,ASSAM",73.44,
231,,2022,"IOCL-PARADIP,ODISHA",1416.58,
232,,2022,"NRL-NUMALIGARH, ASSAM",271.76,
233,,2022,"HPCL-MUMBAI,MAHARASHTRA",850.56,
234,,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1116.44,
235,,2022,"RIL,JAMNAGAR,GUJARAT",2840.86,
236,,2022,GRAND TOTAL,22272.56,
237,,2023,"IOCL-BARAUNI,BIHAR",602.13,
